Shareholder,Percent,Company,shareholder_id,company_national_id,shareholder_rasmio,shareholder_national_id
,0.0127,,,10000000003,گروه توسعه فراگیر فولاد خوزستان,10420358245
,0.0113,,,10000000003,صنایع پتروشیمی خلیج فارس,10101336301
,0.01,,,10000000003,گروه ارزش آفرینان پاسارگاد,10103810941
,0.01,,,10000000003,سرمایه گذاری آتیه اندیشان مس,10102835234
,0.0911,,,10000000004,فولاد خوزستان,10101138294
,0.0492,,,10000000004,پتروشیمی بندرامام,10860723760
,0.0404,,,10000000004,فولاد مبارکه اصفهان,10260289464
,0.0289,,,10000000004,ذوب آهن اصفهان,10260085303
,0.0278,,,10000000004,مجتمع فولاد خراسان,10861926358
,0.0252,,,10000000004,,10100751306
,0.0242,,,10000000004,,10100941473
,0.0237,,,10000000004,کالسیمین,10460051194
,0.0229,,,10000000004,پتروشیمی شازند,10101094555
,0.0225,,,10000000004,گروه صنعتی سپاهان,10260171510
,0.0215,,,10000000004,,10200054704
,0.0203,,,10000000004,,10860449124
,0.0203,,,10000000004,فولاد هرمزگان جنوب,10800154024
,0.02,,,10000000004,مصرف کارکنان ذوب آهن,10260151716
,0.019,,,10000000004,سیمان ارومیه,10220016318
,0.0177,,,10000000004,,10100447804
,0.0176,,,10000000004,,10000000084
,0.0176,,,10000000004,فولاد زاگرس چهارمحال,10340080310
,0.0175,,,10000000004,ملی سرب و روی ایران,10460036512
,0.0167,,,10000000004,خدمات عمومی فولاد ایران,10101268484
,0.0163,,,10000000004,آتیه فولاد نقش جهان,10260505007
,0.0161,,,10000000004,فرآوری مواد معدنی ایران,10460091758
,0.0156,,,10000000004,مجتمع صنایع قایم رضا,10860179853
,0.0154,,,10000000004,,10101627398
,0.0154,,,10000000004,مجتمع صنایع و معادن احیاء سپاهان,10260326724
,0.0151,,,10000000004,مجتمع ذوب و احیاء روی قشم,10861500586
,0.0149,,,10000000004,,10260355332
,0.0149,,,10000000004,توسعه معادن روی ایران,10460063089
,0.0145,,,10000000004,بازرگانی توسعه صنعت روی,10460069766
,0.0128,,,10000000004,,10861655731
,0.0127,,,10000000004,فولاد متیل,10101302100
,0.0118,,,10000000004,,10000000082
,0.011,,,10000000004,تولید و توسعه پویا انرژی نگین سبز خاورمیانه,10320753931
,0.0107,,,10000000004,,10102522958
,0.0102,,,10000000004,نفت سپاهان,10101978329
,0.95,,,10000000005,سخت آژند,10101620879
,0.96,,,10000000006,,10260510013
,0.01,,,10000000006,,10000000090
,0.01,,,10000000006,,10000000089
,0.9998,,,10000000007,سنجش امید آینده,10320403978
,0.903,,,10000000008,سخت آژند,10101620879
,0.03,,,10000000008,سرمایه گذاری دلیران پارس,10102803281
,0.02,,,10000000008,گروه اقتصادی عمران توسعه استان هرمزگان,10320846497
,0.01,,,10000000008,پیشگامان عمران و توسعه استان البرز,10320884037
,0.01,,,10000000008,,10000000080
,0.01,,,10000000008,,10320894601
,0.01,,,10000000008,پیشگامان عمران و توسعه استان قزوین,10320891081
,0.9995,,,10000000009,,10320400450
,0.1,,,10000000010,,10102683475
,0.1,,,10000000010,,10102803034
,0.1,,,10000000010,سرمایه گذاری گنجینه شایستگان,10102681999
,0.1,,,10000000010,,10103297319
,0.05,,,10000000010,,10320399467
,0.05,,,10000000010,تامین سرمایه نوین,10103584900
,0.0334,,,10000000010,تامین سرمایه امین,10103525426
,0.0333,,,10000000010,ارتباطاتی ضحی کیش,10861529034
,0.0166,,,10000000010,,10320745749
,0.01,,,10000000010,شهریار مهستان,10103045588
,0.9999,,,10000000011,گروه مدیریت ارزش سرمایه صندوق بازنشستگی کشوری,14004810068
,0.5099,,,10000000012,,10000000086
,0.4,,,10000000012,,10000000076
,0.09,,,10000000012,ملی صنایع مس ایران,10100582059
,0.0476,,,10000000013,,10101237758
,0.931,,,10000000014,,10101201647
,0.9617,,,10000000015,,10862068926
,0.0382,,,10000000015,سازمان گسترش و نوسازی صنایع ایران,10861673173
,0.05,,,10000000016,,10100426424
,0.16,,,10000000017,سرمایه گذاری نفت و گاز و پتروشیمی تامین,10420205695
,0.16,,,10000000017,مهندسی حمل و نقل پتروشیمی,10101337205
,0.16,,,10000000017,صنایع پتروشیمی خلیج فارس,10101336301
,0.1566,,,10000000017,گروه گسترش نفت و گاز پارسیان,10103389006
,0.1566,,,10000000017,سرمایه گذاری صندوق بازنشستگی کشوری,10101154437
,0.1566,,,10000000017,گروه سرمایه گذاری امیر,10102916359
,0.05,,,10000000017,,10100385838
,0.9859,,,10000000018,گروه توسعه سرمایه گذاری انتخاب,10260496279
,0.014,,,10000000018,,10100385838
,0.0137,,,10100016424,سرمایه گذاری زرین پرشیا,10102986880
,0.0119,,,10100016424,,10780042295
,0.0986,صنعتی زر ماکارون,,10100047773,گروه صنعتی پژوهشی فرهیختگان زرنام,10184001687
,0.0922,صنعتی زر ماکارون,,10100047773,توسعه صنعتی غذایی زر,14005705470
,0.0199,صنعتی زر ماکارون,,10100047773,,14004684611
,0.014,صنعتی زر ماکارون,,10100047773,,10000000101
,0.6669,تولید ژلاتین کپسول ایران,,10100127830,,10260279270
,0.0375,تولید ژلاتین کپسول ایران,,10100127830,,10000000067
,0.0239,تولید ژلاتین کپسول ایران,,10100127830,بیمه ملت,10102526951
,0.0226,تولید ژلاتین کپسول ایران,,10100127830,گروه مالی شهر,10320832748
,0.012,تولید ژلاتین کپسول ایران,,10100127830,,10320681523
,0.4689,مهندسی ساختمان و تأسیسات راه آهن,,10100193589,گروه مالی بانک مسکن,10100687843
,0.0329,مهندسی ساختمان و تأسیسات راه آهن,,10100193589,سرمایه گذاری گروه مالی سپهر صادرات,14004518505
,0.7989,صنعتی بهشهر,,10100218034,,10102550662
,0.0182,صنعتی بهشهر,,10100218034,,10100782085
,0.2772,گروه بهمن,,10100231402,فن پردازان بهمن,10102727560
,0.259,گروه بهمن,,10100231402,سرمایه گذاری اندیشه فردا,10102803015
,0.0884,گروه بهمن,,10100231402,سرمایه گذاری توسعه انرژی هور,10102802996
,0.0498,گروه بهمن,,10100231402,سرمایه گذاری بهمن,10102341535
,0.0293,گروه بهمن,,10100231402,سرمایه گذاری مانا نوین,10102803205
,0.0145,گروه بهمن,,10100231402,بازرگانی عصر بهمن,10101997272
,0.0139,گروه بهمن,,10100231402,,10000000046
,0.4168,سیمان شرق,,10100233725,توسعه سرمایه و صنعت غدیر,10101788597
,0.1151,سیمان شرق,,10100233725,سیمان سپاهان,10260259140
,0.0336,سیمان شرق,,10100233725,سیمان فارس و خوزستان,10100235615
,0.0216,سیمان شرق,,10100233725,سرمایه گذاری آذر,10103837742
,0.0144,سیمان شرق,,10100233725,,10000000050
,0.0139,سیمان شرق,,10100233725,سرمایه گذاری اعتضاد غدیر,10102169938
,0.0109,سیمان شرق,,10100233725,گروه توسعه مالی مهر آیندگان,10101638604
,0.0105,سیمان شرق,,10100233725,سرمایه گذاری صدر آرین,10102802014
,0.5128,سیمان فارس و خوزستان,,10100235615,سرمایه گذاری سیمان تأمین,10101942066
,0.1189,سیمان فارس و خوزستان,,10100235615,گروه توسعه مالی مهر آیندگان,10101638604
,0.0158,سیمان فارس و خوزستان,,10100235615,,14009224728
,0.0146,سیمان فارس و خوزستان,,10100235615,,10100314776
,0.0106,سیمان فارس و خوزستان,,10100235615,گروه سرمایه گذاری تدبیر,10101907666
,0.6823,,,10100239199,توسعه صنایع بهشهر,10100539090
,0.0323,,,10100239199,سرمایه گذاری گروه توسعه ملی,10101339590
,0.0135,,,10100239199,,10000000041
,0.01,,,10100239199,گروه مالی شهر,10320832748
,0.6632,سیمان شمال,,10100246682,سرمایه گذاری و توسعه صنایع سیمان,10102593454
,0.0526,سیمان شمال,,10100246682,گروه توسعه مالی مهر آیندگان,10101638604
,0.0399,سیمان شمال,,10100246682,گروه مالی بانک مسکن,10100687843
,0.0348,سیمان شمال,,10100246682,,10000000073
,0.0223,سیمان شمال,,10100246682,بانک ملی,10861677542
,0.0118,سیمان شمال,,10100246682,,10320852937
,0.0108,سیمان شمال,,10100246682,سیمان داراب,10101134554
,0.8854,,,10100248101,,14000259917
,0.1365,پویا زرکان آق دره,,10100250643,,10000000039
,0.1214,پویا زرکان آق دره,,10100250643,تابان کیش,10861394189
,0.1208,پویا زرکان آق دره,,10100250643,کاوندگان قشم,10861504332
,0.1187,پویا زرکان آق دره,,10100250643,کوشش آذین قشم,10861503629
,0.1141,پویا زرکان آق دره,,10100250643,سرمایه گذاری گلومینکو قشم,10861394039
,0.0981,پویا زرکان آق دره,,10100250643,,10861394307
,0.0862,پویا زرکان آق دره,,10100250643,کاوان کیش,10861394252
,0.06,پویا زرکان آق دره,,10100250643,باما,10260293195
,0.71,کارخانجات پنبه ودانه های روغنی خراسان,,10100253038,سرمایه گذاری توسعه صنعت کوثر صبا,10101012504
,0.287,کارخانجات پنبه ودانه های روغنی خراسان,,10100253038,سازمان اقتصادی کوثر,14006852814
,0.2999,دارو سازی تهران دارو,,10100254685,,10100348754
,0.344,ایرانیت,,10100270720,گروه تولیدی مهرام,10100542221
,0.133,ایرانیت,,10100270720,توسعه نوآوران آپادانا,10103399243
,0.0481,ایرانیت,,10100270720,,14009661110
,0.041,ایرانیت,,10100270720,پرنیان مهیار,10101699066
,0.0319,ایرانیت,,10100270720,,10000000045
,0.0241,ایرانیت,,10100270720,,10103032293
,0.0237,ایرانیت,,10100270720,,10100733459
,0.0131,ایرانیت,,10100270720,,14005902183
,0.4639,سرمایه گذاری پردیس,,10100271449,گروه سرمایه گذاری تدبیر,10101907666
,0.0383,سرمایه گذاری پردیس,,10100271449,,10320895923
,0.0212,سرمایه گذاری پردیس,,10100271449,,14005828941
,0.0198,سرمایه گذاری پردیس,,10100271449,,14006793310
,0.5083,سرمایه گذاری توسعه صنعت و تجارت,,10100273586,گروه سرمایه گذاری توسعه صنعتی ایران,10101702561
,0.163,سرمایه گذاری توسعه صنعت و تجارت,,10100273586,گروه توسعه مالی مهر آیندگان,10101638604
,0.0506,,,10100276443,,10100782085
,0.0123,,,10100276443,,14005108893
,0.1295,فرآورده های تزریقی و دارویی ایران,,10100277750,سرمایه گذاری آتیه صبا,10103137408
,0.0506,فرآورده های تزریقی و دارویی ایران,,10100277750,صندوق بیمه اجتماعی روستاییان و عشایر,10100625070
,0.0441,فرآورده های تزریقی و دارویی ایران,,10100277750,سرمایه گذاری دارویی تامین,10102543204
,0.1452,افست,,10100282064,,10100747423
,0.1308,افست,,10100282064,سرمایه گذاری ملی ایران,10100686779
,0.2042,کف,,10100282936,,10320204222
,0.1619,کف,,10100282936,جهان شیمی آریا,10320200350
,0.085,کف,,10100282936,سرمایه گذاری بین المللی کیوان تجارت دارو,10320231910
,0.085,کف,,10100282936,البرز آریا رازی,10320215061
,0.04,کف,,10100282936,,10103691644
,0.04,کف,,10100282936,,10103694307
,0.04,کف,,10100282936,,10320232317
,0.04,کف,,10100282936,,10103522880
,0.0331,کف,,10100282936,,10101282815
,0.5,کارخانه چینی ایران,,10100288420,گسترش پایا صنعت سینا,10101236358
,0.0757,کارخانه چینی ایران,,10100288420,سرمایه گذاری ملی ایران,10100686779
,0.0343,کارخانه چینی ایران,,10100288420,سرمایه گذاری سپه,10101296740
,0.0118,کارخانه چینی ایران,,10100288420,نوآوران مدیریت سبا,10103259194
,0.4894,قند اصفهان,,10100297496,مادر تخصصی گسترش صنایع غذایی سینا,10104055685
,0.2204,قند اصفهان,,10100297496,بنیاد مستضعفان انقلاب اسلامی,10100171920
,0.0113,قند اصفهان,,10100297496,,10101659507
,0.01,قند اصفهان,,10100297496,بیمه معلم,10101541927
,0.5058,شکر,,10100300290,صادراتی توسعه صنایع بهشهر زرین,10101952529
,0.0247,شکر,,10100300290,توسعه صنایع بهشهر,10100539090
,0.0206,شکر,,10100300290,سرمایه گذاری گروه صنایع بهشهر ایران,10101662543
,0.0119,شکر,,10100300290,,14000286830
,0.4901,نفت پارس,,10100302746,توسعه صنعت نفت و گاز پرشیا,10102933619
,0.1843,نفت پارس,,10100302746,گروه سرمایه گذاری تدبیر,10101907666
,0.1501,نفت پارس,,10100302746,سرمایه گذاری ملی ایران,10100686779
,0.0401,نفت پارس,,10100302746,گروه توسعه انرژی تدبیر,10103669614
,0.0102,نفت پارس,,10100302746,توسعه و مدیریت سرمایه صبا,14003923256
,0.6766,ویتانا,,10100304130,صنایع غذایی شهدین گام,10102256692
,0.017,ویتانا,,10100304130,توسعه تجارت شهدین گام,14005809700
,0.9015,,,10100305257,,14000259917
,0.4216,کارخانه های صنعتی آزمایش,,10100307035,گسترش صنایع پیام,10100358442
,0.0173,کارخانه های صنعتی آزمایش,,10100307035,مهندسی بازرگانی پیام قشم,10860411138
,0.0128,کارخانه های صنعتی آزمایش,,10100307035,صنایع جوشکاب یزد,10100967098
,0.1168,,,10100313060,,14003309503
,0.09,,,10100313060,سرمایه گذاری ملی ایران,10100686779
,0.0459,کارتن ایران,,10100314075,گروه صنعت سلولزی تأمین گستر نوین,10800021304
,0.0181,کارتن ایران,,10100314075,,10000000054
,0.0117,کارتن ایران,,10100314075,,14008285598
,0.1956,بیمه آسیا,,10100314757,,14000074621
,0.1723,بیمه آسیا,,10100314757,گروه مالی ملت,10102801942
,0.1663,بیمه آسیا,,10100314757,سرمایه گذاری ای اف جی اج کیش,10861530138
,0.1569,بیمه آسیا,,10100314757,صندوق بازنشستگی وظیفه از کار افتادگی و پس انداز کارکنان بانکهای ملی و ادغام شده,10103037570
,0.1408,بیمه آسیا,,10100314757,,10101997560
,0.0142,بیمه آسیا,,10100314757,,14004107956
,0.1998,بیمه البرز,,10100314776,گروه توسعه مالی مهر آیندگان,10101638604
,0.1306,بیمه البرز,,10100314776,صندوق بیمه اجتماعی روستاییان و عشایر,10100625070
,0.095,بیمه البرز,,10100314776,,14003674869
,0.0827,بیمه البرز,,10100314776,سرمایه گذاری توسعه معین ملت,10320359435
,0.0635,بیمه البرز,,10100314776,سرمایه گذاری صباتأمین,10101908370
,0.0568,بیمه البرز,,10100314776,,14009108895
,0.0366,بیمه البرز,,10100314776,بانک صادرات ایران,10861736062
,0.0335,بیمه البرز,,10100314776,بانک تجارت,10100834460
,0.0204,بیمه البرز,,10100314776,گروه مالی ملت,10102801942
,0.0149,بیمه البرز,,10100314776,,10000000030
,0.0148,بیمه البرز,,10100314776,سرمایه گذاری تجاری سامانه های رایانه ای هوپاد هونامیک,14008036097
,0.0147,بیمه البرز,,10100314776,خدمات مدیریت صبا تامین,10100053930
,0.0128,بیمه البرز,,10100314776,,14004684611
,0.01,بیمه البرز,,10100314776,سرمایه گذاری توسعه صنعت و تجارت,10100273586
,0.5552,صنعتی پارس مینو,,10100320247,صنعتی مینو,10460002140
,0.0514,صنعتی پارس مینو,,10100320247,سرمایه گذاری ملی ایران,10100686779
,0.0384,صنعتی پارس مینو,,10100320247,خدمات مالی و مدیریت معین آزادگان,10102509615
,0.1851,صنعتی آما,,10100322690,سرمایه گذاری ملی ایران,10100686779
,0.1484,صنعتی آما,,10100322690,گروه سرمایه گذاری تدبیر,10101907666
,0.0668,صنعتی آما,,10100322690,مدیریت سرمایه گذاری ملی ایران,10103195710
,0.038,صنعتی آما,,10100322690,,10100193272
,0.2885,ایتالران,,10100323537,سرمایه گذاری ملی ایران,10100686779
,0.2781,ایتالران,,10100323537,بنیاد مستضعفان انقلاب اسلامی,10100171920
,0.0993,ایتالران,,10100323537,کیا آسا تجارت توس,10380474989
,0.0202,ایتالران,,10100323537,مدیریت سرمایه گذاری ملی ایران,10103195710
,0.0155,ایتالران,,10100323537,مدیریت سرمایه گذاری کوثر بهمن,10100945346
,0.4015,ایران خودرو دیزل,,10100326014,ایران خودرو,10100360794
,0.2419,ایران خودرو دیزل,,10100326014,سرمایه گذاری سمند,10102695661
,0.0321,ایران خودرو دیزل,,10100326014,ترنیان سهم,10103799078
,0.5156,لبنیات پاستوریزه پاک,,10100326962,مادر تخصصی گسترش صنایع غذایی سینا,10104055685
,0.1488,لبنیات پاستوریزه پاک,,10100326962,سرمایه گذاری ملی ایران,10100686779
,0.0158,لبنیات پاستوریزه پاک,,10100326962,بنیاد مستضعفان انقلاب اسلامی,10100171920
,0.0139,لبنیات پاستوریزه پاک,,10100326962,,10320432533
,0.5477,صنعتی سپنتا,,10100328356,,10100182809
,0.0826,صنعتی سپنتا,,10100328356,صنعتی تولیدی سپنتا پلیمر,10100548970
,0.0175,صنعتی سپنتا,,10100328356,کارگزاری بانک ملت,10101443196
,0.0157,صنعتی سپنتا,,10100328356,بیمه معلم,10101541927
,0.0135,صنعتی سپنتا,,10100328356,,14006793310
,0.1606,بانک رفاه کارگران,,10100334245,سازمان تامین اجتماعی,14000261665
,0.0989,بانک رفاه کارگران,,10100334245,,10100189989
,0.0989,بانک رفاه کارگران,,10100334245,سرمایه گذاری خانه سازی ایران,10861666950
,0.0989,بانک رفاه کارگران,,10100334245,,10102345660
,0.0989,بانک رفاه کارگران,,10100334245,رفاه گستر تامین اجتماعی,10101775376
,0.0989,بانک رفاه کارگران,,10100334245,,14005104429
,0.0989,بانک رفاه کارگران,,10100334245,املاک ومستغلات تامین اجتماعی,10100357802
,0.0989,بانک رفاه کارگران,,10100334245,,14002207985
,0.0956,بانک رفاه کارگران,,10100334245,,10100544392
,0.0499,بانک رفاه کارگران,,10100334245,مشاور مدیریت وخدمات ماشینی تامین,10101336280
,0.7148,پارس دارو,,10100336986,سرمایه گذاری دارویی تامین,10102543204
,0.0446,پارس دارو,,10100336986,صندوق بیمه اجتماعی روستاییان و عشایر,10100625070
,0.0358,پارس دارو,,10100336986,دارو پخش,10100835286
,0.0243,پارس دارو,,10100336986,گروه مالی شهر,10320832748
,0.0171,پارس دارو,,10100336986,سرمایه گذاری تدبیر گران اتیه ایرانیان,10102867151
,0.0166,پارس دارو,,10100336986,,10320852937
,0.6077,داروسازی جابرابن حیان,,10100339921,سرمایه گذاری شفادارو,10102784472
,0.1658,داروسازی جابرابن حیان,,10100339921,صندوق بازنشستگی وظیفه از کار افتادگی و پس انداز کارکنان بانکهای ملی و ادغام شده,10103037570
,0.0123,داروسازی جابرابن حیان,,10100339921,گروه سرمایه گذاری سایپا,10100419821
,0.0115,داروسازی جابرابن حیان,,10100339921,سرمایه گذاری سامان فرهنگیان,10103273466
,0.4,سوژمیران,,10100347145,صنعتی آراسته معدن,10101885990
,0.2695,سوژمیران,,10100347145,گروه صنعتی و معدنی امیر,10100747077
,0.23,سوژمیران,,10100347145,,10000000061
,0.1264,,,10100353165,فرهنگی پیام آزادگان,10100624195
,0.0284,,,10100353165,صنعتی مینو,10460002140
,0.0223,,,10100353165,قاسم ایران,10100984757
,0.012,,,10100353165,خدمات مالی و مدیریت معین آزادگان,10102509615
,0.0106,,,10100353165,صنعتی پارس مینو,10100320247
,0.1653,قند بیستون,,10100353486,کارخانه های تولیدی و صنعتی ثابت خراسان,10100439250
,0.0464,قند بیستون,,10100353486,,10380025768
,0.0224,قند بیستون,,10100353486,,10000000109
,0.0212,قند بیستون,,10100353486,ایران پیروز,10100915663
,0.0144,قند بیستون,,10100353486,نکا پلاستیک,10100659398
,0.3452,کارخانجات کاشی و سرامیک سعدی,,10100353754,سرمایه گذاری صدر تامین,10101924696
,0.0726,کارخانجات کاشی و سرامیک سعدی,,10100353754,سرمایه گذاری آتیه صبا,10103137408
,0.04,کارخانجات کاشی و سرامیک سعدی,,10100353754,گروه سرمایه گذاری آتیه دماوند,10102277635
,0.0392,کارخانجات کاشی و سرامیک سعدی,,10100353754,بیمه معلم,10101541927
,0.0104,کارخانجات کاشی و سرامیک سعدی,,10100353754,,10000000054
,0.2867,گسترش صنایع پیام,,10100358442,توسعه و گسترش اندیشه پارس,10102613264
,0.0464,گسترش صنایع پیام,,10100358442,پاد ذوب تهران,10101664866
,0.0269,گسترش صنایع پیام,,10100358442,سرمایه گذاری هامون کیش,10861532539
,0.0165,گسترش صنایع پیام,,10100358442,توسعه گسترش آزمایش,10102825789
,0.0154,گسترش صنایع پیام,,10100358442,توسعه و گسترش صنایع بسته بندی فلزی پارس,10100412177
,0.0148,گسترش صنایع پیام,,10100358442,,14007120347
,0.0103,گسترش صنایع پیام,,10100358442,,10101986809
,0.5573,شوکو پارس,,10100359308,صنعتی مینو,10460002140
,0.0426,شوکو پارس,,10100359308,کشت و صنعت جوین,10380018483
,0.0278,شوکو پارس,,10100359308,صنایع غذایی مینو شرق,10860251887
,0.0101,شوکو پارس,,10100359308,,14008632146
,0.15,ایران خودرو,,10100360794,,10320526636
,0.1059,ایران خودرو,,10100360794,گسترش سرمایه گذاری ایران خودرو,10101800682
,0.1026,ایران خودرو,,10100360794,,10861558500
,0.0571,ایران خودرو,,10100360794,سازمان گسترش و نوسازی صنایع ایران,10861673173
,0.0501,ایران خودرو,,10100360794,سرمایه گذاری ملی ایران,10100686779
,0.0498,ایران خودرو,,10100360794,سرمایه گذاری آتیه صبا,10103137408
,0.0336,ایران خودرو,,10100360794,بانک صادرات ایران,10861736062
,0.0318,ایران خودرو,,10100360794,سرمایه گذاری سمند,10102695661
,0.0306,ایران خودرو,,10100360794,بانک تجارت,10100834460
,0.0303,ایران خودرو,,10100360794,سرمایه گذاری صندوق بازنشستگی کشوری,10101154437
,0.0228,ایران خودرو,,10100360794,,10320671100
,0.0168,ایران خودرو,,10100360794,گروه مالی ملت,10102801942
,0.0142,ایران خودرو,,10100360794,سرمایه گذاری مانا نوین,10102803205
,0.0121,ایران خودرو,,10100360794,گروه مالی پارسیان,14004046372
,0.6696,پاکسان,,10100364988,مدیریت صنعت شوینده توسعه صنایع بهشهر,10102757695
,0.0246,پاکسان,,10100364988,,10320863149
,0.0195,پاکسان,,10100364988,سرمایه گذاری گروه مالی سپهر صادرات,14004518505
,0.0174,پاکسان,,10100364988,بیمه ملت,10102526951
,0.0111,,,10100365216,,10320851649
,0.0104,,,10100365216,,14007062530
,0.3973,صنعتی جام دارو,,10100365410,,10102694700
,0.0464,صنعتی جام دارو,,10100365410,,10101282815
,0.3757,کارخانجات پارس الکتریک,,10100367182,سرمایه گذاری صنایع عمومی تامین,10102585130
,0.1318,کارخانجات پارس الکتریک,,10100367182,خدمات ارتباطی رای تل,10103330398
,0.0166,کارخانجات پارس الکتریک,,10100367182,بانک سپه,10862064732
,0.386,زامیاد,,10100370594,گروه سرمایه گذاری سایپا,10100419821
,0.0911,زامیاد,,10100370594,سرمایه گذاری وتوسعه صنعتی نیوان ابتکار,10101852098
,0.3069,روزدارو,,10100373295,تجهیزات پزشکی و دارویی پورا طب,10102080134
,0.2648,روزدارو,,10100373295,سرمایه گذاری دارویی پورا دارو ایرانیان,14005636557
,0.0418,روزدارو,,10100373295,آرمان فارمد دارو,10103680463
,0.019,روزدارو,,10100373295,صنایع غذایی سپاکو ایرانیان,10103501155
,0.6708,بین المللی محصولات پارس,,10100373846,سرمایه گذاری سپهر,10101407567
,0.0193,بین المللی محصولات پارس,,10100373846,,14003867572
,0.2263,لوله وماشین سازی ایران,,10100377816,سرمایه گذاری آتیه صبا,10103137408
,0.0868,لوله وماشین سازی ایران,,10100377816,سرمایه گذاری ملی ایران,10100686779
,0.5673,صنایع بسته بندی ایران,,10100382645,توسعه صنایع بهشهر,10100539090
,0.0313,صنایع بسته بندی ایران,,10100382645,,10102425103
,0.0239,صنایع بسته بندی ایران,,10100382645,سرمایه گذاری گروه صنایع بهشهر ایران,10101662543
,0.5442,کارخانجات پلاسکو کار سایپا,,10100383116,گروه سرمایه گذاری سایپا,10100419821
,0.0211,کارخانجات پلاسکو کار سایپا,,10100383116,,10000000055
,0.102,صنعتی وکشاورزی شیرین خراسان,,10100383781,سرمایه گذاری ملی ایران,10100686779
,0.0393,صنعتی وکشاورزی شیرین خراسان,,10100383781,,10380145666
,0.0222,صنعتی وکشاورزی شیرین خراسان,,10100383781,,14009250859
,0.0213,صنعتی وکشاورزی شیرین خراسان,,10100383781,بین المللی پارس تجارت منطقه آزاد چابهار,14005946717
,0.0209,صنعتی وکشاورزی شیرین خراسان,,10100383781,,14000286084
,0.0175,صنعتی وکشاورزی شیرین خراسان,,10100383781,,14007120347
,0.0129,صنعتی وکشاورزی شیرین خراسان,,10100383781,,10000000067
,0.0121,صنعتی وکشاورزی شیرین خراسان,,10100383781,گروه هتلهای بین المللی ماهان,14009016395
,0.5099,تولیدی ایران تایر,,10100387143,,10102193385
,0.1287,تولیدی ایران تایر,,10100387143,سرمایه گذاری ملی ایران,10100686779
